timestamp,message
1779257956945,"START RequestId: 72013ff8-346b-4e2a-afe3-a24b3c3cf61a Version: $LATEST
"
1779257956947,"{""level"":""INFO"",""location"":""handler:1138"",""message"":""Processing S3 event"",""timestamp"":""2026-05-20 06:19:16,945+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""bucket"":""smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy"",""key"":""datasets/raw/c408ca9d-ff99-401e-bafa-582466d6daac/marketing_campaigns.xlsx"",""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257957329,"{""level"":""INFO"",""location"":""handler:1445"",""message"":""Excel file sheets"",""timestamp"":""2026-05-20 06:19:17,329+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""sheets"":[""Sheet1""],""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257958219,"{""level"":""INFO"",""location"":""_llm_analyze_structure:1238"",""message"":""LLM structure analysis"",""timestamp"":""2026-05-20 06:19:18,219+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""header_row"":0,""skip_footer"":0,""notes"":""Standard table with clean headers"",""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257958352,"{""level"":""INFO"",""location"":""handler:1666"",""message"":""Loaded dataframe"",""timestamp"":""2026-05-20 06:19:18,352+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""rows"":50,""cols"":9,""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257958457,"{""level"":""INFO"",""location"":""handler:1689"",""message"":""Uploaded Parquet"",""timestamp"":""2026-05-20 06:19:18,456+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""key"":""datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet"",""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257958598,"{""level"":""INFO"",""location"":""handler:1739"",""message"":""Registered staging table in Glue"",""timestamp"":""2026-05-20 06:19:18,597+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""table"":""staging_c408ca9d_ff99_401e_bafa_582466d6daac"",""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257963783,"{""level"":""ERROR"",""location"":""handler:1882"",""message"":""Dataset ingestion failed"",""timestamp"":""2026-05-20 06:19:23,781+0000"",""service"":""chatbot"",""cold_start"":false,""function_name"":""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_memory_size"":""1024"",""function_arn"":""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"",""function_request_id"":""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"",""datasetId"":""c408ca9d-ff99-401e-bafa-582466d6daac"",""exception"":""Traceback (most recent call last):
  File \""/var/task/index.py\"", line 1776, in handler
    _run_athena_query(ctas_sql, athena_output)
  File \""/var/task/index.py\"", line 104, in _run_athena_query
    raise RuntimeError(f\""Athena query {exec_id} failed: {state} — {reason}\"")
RuntimeError: Athena query 9e3463a1-4ffd-4039-9a76-e5af9ac6723c failed: FAILED — HIVE_BAD_DATA: Malformed Parquet file. Field budget_sgd's type INT64 in parquet file s3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet is incompatible with type double defined in table schema [s3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet]. You may need to manually clean the data at location 's3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/athena/results/tables/9e3463a1-4ffd-4039-9a76-e5af9ac6723c' before retrying. Athena will not delete data in your account."",""exception_name"":""RuntimeError"",""stack_trace"":{""type"":""RuntimeError"",""value"":""Athena query 9e3463a1-4ffd-4039-9a76-e5af9ac6723c failed: FAILED — HIVE_BAD_DATA: Malformed Parquet file. Field budget_sgd's type INT64 in parquet file s3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet is incompatible with type double defined in table schema [s3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet]. You may need to manually clean the data at location 's3://smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy/datasets/athena/results/tables/9e3463a1-4ffd-4039-9a76-e5af9ac6723c' before retrying. Athena will not delete data in your account."",""module"":""builtins"",""frames"":[{""file"":""/var/task/index.py"",""line"":1776,""function"":""handler"",""statement"":""_run_athena_query(ctas_sql, athena_output)""},{""file"":""/var/task/index.py"",""line"":104,""function"":""_run_athena_query"",""statement"":""raise RuntimeError(f\""Athena query {exec_id} failed: {state} — {reason}\"")""}]},""xray_trace_id"":""1-6a0d5264-13dfcf7e220ca70a3a555640""}
"
1779257963790,"END RequestId: 72013ff8-346b-4e2a-afe3-a24b3c3cf61a
"
1779257963790,"REPORT RequestId: 72013ff8-346b-4e2a-afe3-a24b3c3cf61a	Duration: 6845.45 ms	Billed Duration: 6846 ms	Memory Size: 1024 MB	Max Memory Used: 294 MB	
XRAY TraceId: 1-6a0d5264-13dfcf7e220ca70a3a555640	SegmentId: fb962350b3213a1e	Sampled: true	
"
